symbol 	 description 	 CNV 	 chr 	 CNV region 	 gene start 	 gene end
TMEM145 	 transmembrane protein 145  	 CN0 	 19 	 19:42280001:42320000 	 42313325 	 42325062
SIRPB1 	 signal regulatory protein beta 1  	 CN0 	 20 	 20:1580001:1620000 	 1563521 	 1620061
CTNNA1 	 catenin alpha 1  	 CN0 	 5 	 5:138770001:138980000 	 138610967 	 138935034
LRRTM2 	 leucine rich repeat transmembrane neuronal 2  	 CN0 	 5 	 5:138770001:138980000 	 138868923 	 138875368
SIL1 	 SIL1 nucleotide exchange factor  	 CN0 	 5 	 5:138770001:138980000 	 138946720 	 139293557
CDH18 	 cadherin 18  	 CN0 	 5 	 5:19850001:19960000 	 19472951 	 20575873
USP9Y 	 ubiquitin specific peptidase 9, Y-linked  	 CN0 	 Y 	 Y:11530001:16450000 	 12701231 	 12860839
DDX3Y 	 DEAD-box helicase 3, Y-linked  	 CN0 	 Y 	 Y:11530001:16450000 	 12904108 	 12920478
TMSB4Y 	 thymosin beta 4, Y-linked  	 CN0 	 Y 	 Y:11530001:16450000 	 13703567 	 13706024
NLGN4Y 	 neuroligin 4, Y-linked  	 CN0 	 Y 	 Y:11530001:16450000 	 14522638 	 14845650
VCY 	 variable charge, Y-linked  	 CN0 	 Y 	 Y:11530001:16450000 	 13985772 	 13986513
UTY 	 ubiquitously transcribed tetratricopeptide repeat containing, Y-linked  	 CN0 	 Y 	 Y:11530001:16450000 	 13248379 	 13480673
VCY1B 	 variable charge, Y-linked 1B  	 CN0 	 Y 	 Y:11530001:16450000 	 14056217 	 14056958
TTTY15 	 testis-specific transcript, Y-linked 15 (non-protein coding)  	 CN0 	 Y 	 Y:11530001:16450000 	 12662334 	 12692233
TTTY13 	 testis-specific transcript, Y-linked 13 (non-protein coding)  	 CN0 	 Y 	 Y:21420001:21630000 	 21583600 	 21594666
RBMY1B 	 RNA binding motif protein, Y-linked, family 1, member B  	 CN0 	 Y 	 Y:21420001:21630000 	 21511338 	 21549094
RBMY1A1 	 RNA binding motif protein, Y-linked, family 1, member A1  	 CN0 	 Y 	 Y:21420001:21630000 	 21511372 	 21549326
RBMY1D 	 RNA binding motif protein, Y-linked, family 1, member D  	 CN0 	 Y 	 Y:21820001:21930000 	 21880076 	 21894526
RBMY1E 	 RNA binding motif protein, Y-linked, family 1, member E  	 CN0 	 Y 	 Y:21820001:21930000 	 21903618 	 21918067
TTTY23B 	 testis-specific transcript, Y-linked 23B (non-protein coding)  	 CN0 	 Y 	 Y:6240001:6530000 	 6242446 	 6243610
TSPY2 	 testis specific protein, Y-linked 2  	 CN0 	 Y 	 Y:6240001:6530000 	 6246223 	 6249019
TTTY7 	 testis-specific transcript, Y-linked 7 (non-protein coding)  	 CN0 	 Y 	 Y:6240001:6530000 	 6449468 	 6457906
TTTY8B 	 testis-specific transcript, Y-linked 8B (non-protein coding)  	 CN0 	 Y 	 Y:6240001:6530000 	 6470773 	 6473630
LINC00280 	 long intergenic non-protein coding RNA 280  	 CN0 	 Y 	 Y:6240001:6530000 	 6357219 	 6361413
TTTY1B 	 testis-specific transcript, Y-linked 1B (non-protein coding)  	 CN0 	 Y 	 Y:6240001:6530000 	 6390431 	 6411564
TTTY21B 	 testis-specific transcript, Y-linked 21B (non-protein coding)  	 CN0 	 Y 	 Y:6240001:6530000 	 6443434 	 6447077
TTTY7B 	 testis-specific transcript, Y-linked 7B (non-protein coding)  	 CN0 	 Y 	 Y:9450001:10200000 	 9706824 	 9715262
TTTY21 	 testis-specific transcript, Y-linked 21 (non-protein coding)  	 CN0 	 Y 	 Y:9450001:10200000 	 9717653 	 9721296
TTTY23 	 testis-specific transcript, Y-linked 23 (non-protein coding)  	 CN0 	 Y 	 Y:9450001:10200000 	 9910798 	 9911962
TTTY1 	 testis-specific transcript, Y-linked 1 (non-protein coding)  	 CN0 	 Y 	 Y:9450001:10200000 	 9753156 	 9774289
TTTY22 	 testis-specific transcript, Y-linked 22 (non-protein coding)  	 CN0 	 Y 	 Y:9450001:10200000 	 9801153 	 9813245
TTTY8 	 testis-specific transcript, Y-linked 8 (non-protein coding)  	 CN0 	 Y 	 Y:9450001:10200000 	 9691100 	 9693957
TSPY10 	 testis specific protein, Y-linked 10  	 CN0 	 Y 	 Y:9450001:10200000 	 9527880 	 9530682
TSPY1 	 testis specific protein, Y-linked 1  	 CN0 	 Y 	 Y:9450001:10200000 	 9466955 	 9490081
FAM197Y5P 	 family with sequence similarity 197 Y-linked member 5, pseudogene  	 CN0 	 Y 	 Y:9450001:10200000 	 9458613 	 9465974
